110,HiTek Tek,by Future,High Off Life,Rap,2020-05-15,
126,Last Name (featuring Lil Durk),by Future,High Off Life,Rap,2020-05-15,
125,Life Is Good (featuring Drake),by Future,High Off Life,Rap,2020-05-15,
114,One of My,by Future,High Off Life,Rap,2020-05-15,
123,Outer Space Bih,by Future,High Off Life,Rap,2020-05-15,
115,Posted with Demons,by Future,High Off Life,Rap,2020-05-15,
129,Posted with Demons,by Future,High Off Life,Rap,2020-05-15,
120,Pray for a Key,by Future,High Off Life,Rap,2020-05-15,
113,Ridin Strikers,by Future,High Off Life,Rap,2020-05-15,
112,Solitaires (featuring Travis Scott),by Future,High Off Life,Rap,2020-05-15,
121,Too Comfortable,by Future,High Off Life,Rap,2020-05-15,
111,Touch the Sky,by Future,High Off Life,Rap,2020-05-15,
109,Trapped in the Sun,by Future,High Off Life,Rap,2020-05-15,
117,Trillionaire (featuring YoungBoy Never Broke Again),by Future,High Off Life,Rap,2020-05-15,
127,Tycoon,by Future,High Off Life,Rap,2020-05-15,
119,Up the River,by Future,High Off Life,Rap,2020-05-15,
131,Gold Stacks,by Future,I Never Liked You,Rap,2022-04-29,
133,Love You Better,by Future,I Never Liked You,Rap,2022-04-29,
134,Massaging Me,by Future,I Never Liked You,Rap,2022-04-29,
130,Puffin on Zootiez,by Future,I Never Liked You,Rap,2022-04-29,
132,Wait for U (featuring Drake and Tems),by Future,I Never Liked You,Rap,2022-04-29,
4,Flowers,by Miley Cyrus,Endless Summer Vacation,Pop,2023-01-12,
6,Espresso,by Sabrina Carpenter,Short n' Sweet,Pop,2024-04-11,
1,Nokia,by Drake,$$$4U,Rap,2025-02-14,
,=======,,,,,
128,100 Shooters (featuring Meek Mill and Doe Boy),by Future,High Off Life,Rap,2020-05-15,
124,Accepting My Flaws,by Future,High Off Life,Rap,2020-05-15,
107,Ain't Coming Back,by Future,The Wizrd,Rap,2019-01-18,
25,Ain't No Time,by Future,Evol,Rap,2016-02-06,
122,All Bad (featuring Lil Uzi Vert),by Future,High Off Life,Rap,2020-05-15,
102,Baptiize,by Future,The Wizrd,Rap,2019-01-18,
19,Blood on the Money,by Future,DS2,Rap,2015-07-17,
16,Blow a Bag,by Future,DS2,Rap,2015-07-17,
95,Call the Coroner,by Future,The Wizrd,Rap,2019-01-18,
135,Chickens (featuring EST Gee),by Future,I Never Liked You,Rap,,
17,Colossal,by Future,DS2,Rap,2015-07-17,
54,Comin Out Strong,by Future (feat. The Weeknd),Hndrxx,Rap,2017-02-24,
93,Crushed Up,by Future,The Wizrd,Rap,2019-01-18,
56,Damage,by Future,Hndrxx,Rap,2017-02-24,
39,Draco,by Future,Future,Rap,2017-02-17,
6,Espresso,by Sabrina Carpenter,Short n' Sweet,Pop,2024-04-11,
94,F&N,by Future,The Wizrd,Rap,2019-01-18,
106,Faceshot,by Future,The Wizrd,Rap,2019-01-18,
52,Feds Did a Sweep,by Future,Future,Rap,2017-02-17,
105,First Off (featuring Travis Scott),by Future,The Wizrd,Rap,2019-01-18,
50,Flip,by Future,Future,Rap,2017-02-17,
4,Flowers,by Miley Cyrus,Endless Summer Vacation,Pop,2023-01-12,
35,Fly Shit Only,by Future,Evol,Rap,2016-02-06,
13,Freak Hoe,by Future,DS2,Rap,2015-07-17,
60,Fresh Air,by Future,Hndrxx,Rap,2017-02-24,
24,Fuck Up Some Commas,by Future,DS2 (Deluxe),Rap,2015-07-17,
104,Goin Dummi,by Future,The Wizrd,Rap,2019-01-18,
131,Gold Stacks,by Future,I Never Liked You,Rap,2022-04-29,
37,Good Dope,by Future,Future,Rap,2017-02-17,
10,Groupies,by Future,DS2,Rap,2015-07-17,
63,Hallucinating,by Future,Hndrxx,Rap,2017-02-24,
116,Hard to Choose One,by Future,High Off Life,Rap,2020-05-15,
118,Harlem Shake (featuring Young Thug),by Future,High Off Life,Rap,2020-05-15,
43,High Demand,by Future,Future,Rap,2017-02-17,
110,HiTek Tek,by Future,High Off Life,Rap,2020-05-15,
8,I Serve the Base,by Future,DS2,Rap,2015-07-17,
64,I Thank U,by Future,Hndrxx,Rap,2017-02-24,
